courseCode	index	tutVenue	tutStartTime	tutEndTime	dayOfWeek	remark
CZ2002	10203	1030	1130	LHN-TR+18	TUE	Teaching Wk2-13
CZ2002	10204	930	1030	LHN-TR+16	MON	Teaching Wk2-13
CZ2002	10205	1530	1630	TR+20	WED	Teaching Wk2-13
CZ2002	10206	1630	1730	LHN-TR+16	WED	Teaching Wk2-13
CZ2002	10207	1430	1530	LHN-TR+17	TUE	Teaching Wk2-13
CZ2002	10208	1030	1130	LHN-TR+16	WED	Teaching Wk2-13
CZ2002	10209	1530	1630	LHN-TR+17	WED	Teaching Wk2-13
CZ2002	10480	1630	1730	TR+8	WED	Teaching Wk2-13
CZ2002	10481	830	930	TR+7	WED	Teaching Wk2-13
CZ2002	10486	1630	1730	TR+9	TUE	Teaching Wk2-13
CZ2002	10493	1030	1130	TR+16	WED	Teaching Wk2-13
CZ2002	10512	1630	1730	TR+8	WED	Teaching Wk2-13
CZ2002	13830	1330	1430	TR+9	FRI	Teaching Wk2-13
CZ2002	13831	1030	1130	TR+18	THU	Teaching Wk2-13
CZ2002	13832	830	930	TR+16	TUE	Teaching Wk2-13
CZ2003	10210	1430	1530	TR+18	TUE	Teaching Wk2-13
CZ2003	10211	830	930	TR+15	MON	Teaching Wk2-13
CZ2003	10212	830	930	TR+9	FRI	Teaching Wk2-13
CZ2003	10213	1130	1230	LHN-TR+25	WED	Teaching Wk2-13
CZ2003	10214	830	930	TR+15	WED	Teaching Wk2-13
CZ2003	10215	1030	1130	LHN-TR+25	TUE	Teaching Wk2-13
CZ2003	10216	1130	1230	LHN-TR+25	TUE	Teaching Wk2-13
CZ2004	10217	1630	1730	TR+33	THU	Teaching Wk2-13
CZ2004	10218	1530	1630	TR+33	THU	Teaching Wk2-13
CZ2004	10219	1130	1230	TR+15	MON	Teaching Wk2-13
CZ2004	10220	1130	1230	TR+19	THU	Teaching Wk2-13
CZ2004	10221	930	1030	LHN-TR+17	WED	Teaching Wk2-13
CZ2004	10222	1530	1630	TR+15	MON	Teaching Wk2-13
CZ2004	10223	1030	1130	LHN-TR+17	WED	Teaching Wk2-13
CZ2004	10224	1430	1530	LHN-TR+17	WED	Teaching Wk2-13
CZ2004	10225	930	1030	TR+16	FRI	Teaching Wk2-13
CZ2004	10226	1130	1230	TR+15	THU	Teaching Wk2-13
CZ2004	10227	930	1030	TR+17	WED	Teaching Wk2-13
CZ2004	10442	1130	1230	LHN-TR+13	MON	Teaching Wk2-13
CZ2004	10443	1130	1230	LHN-TR+13	MON	Teaching Wk2-13
CZ2004	10444	1130	1230	LHN-TR+13	MON	Teaching Wk2-13
CZ2004	10485	1130	1230	LHN-TR+13	MON	Teaching Wk2-13
CZ2005	10229	830	930	TR+15	TUE	Teaching Wk2-13
CZ2005	10230	1030	1130	TR+17	MON	Teaching Wk2-13
CZ2005	10231	1330	1430	TR+19	TUE	Teaching Wk2-13
CZ2005	10232	1430	1530	TR+19	TUE	Teaching Wk2-13
CZ2005	10233	830	930	LHN-TR+18	FRI	Teaching Wk2-13
CZ2005	10234	1030	1130	TR+31	MON	Teaching Wk2-13
CZ2005	10235	1530	1630	TR+33	MON	Teaching Wk2-13
CZ2005	10236	1330	1430	TR+17	TUE	Teaching Wk2-13
CZ2005	10237	1430	1530	TR+17	MON	Teaching Wk2-13
CZ2005	10238	1430	1530	TR+18	THU	Teaching Wk2-13
CZ2005	10239	1630	1730	TR+17	MON	Teaching Wk2-13
CZ2005	10240	1330	1430	TR+15	FRI	Teaching Wk2-13
CZ2005	10241	1130	1230	TR+17	MON	Teaching Wk2-13
CZ2006	10242	1630	1730	TR+17	FRI	Teaching Wk2-13
CZ2006	10243	830	930	TR+9	THU	Teaching Wk2-13
CZ2006	10244	1330	1430	TR+37	FRI	Teaching Wk2-13
CZ2006	10245	1430	1530	TR+15	TUE	Teaching Wk2-13
CZ2006	10246	1030	1130	TR+33	MON	Teaching Wk2-13
CZ2006	10248	1630	1730	TR+16	FRI	Teaching Wk2-13
CZ2006	10249	830	930	TR+15	THU	Teaching Wk2-13
CZ2006	10324	1030	1130	TR+15	MON	Teaching Wk2-13
CZ2006	10325	1230	1330	TR+15	WED	Teaching Wk2-13
CZ2007	10250	1430	1530	TR+37	MON	Teaching Wk2-13
CZ2007	10251	930	1030	TR+15	WED	Teaching Wk2-13
CZ2007	10252	830	930	TR+19	THU	Teaching Wk2-13
CZ2007	10253	1030	1130	TRX44	MON	Teaching Wk2-13
CZ2007	10254	1430	1530	TR+18	MON	Teaching Wk2-13
CZ2007	10255	1130	1230	TR+16	MON	Teaching Wk2-13
CZ2007	10256	1430	1530	TR+16	TUE	Teaching Wk2-13
CZ2007	10257	1330	1430	TR+17	FRI	Teaching Wk2-13
CZ2007	10258	830	930	TR+18	TUE	Teaching Wk2-13
CZ2007	10259	1030	1130	TR+19	MON	Teaching Wk2-13
CZ2007	10260	1330	1430	LHN-TR+18	FRI	Teaching Wk2-13
CZ2007	10261	830	930	LHN-TR+17	TUE	Teaching Wk2-13
CZ2007	10262	930	1030	TR+19	WED	Teaching Wk2-13
CZ3001	10263	1530	1630	TR+15	FRI	Teaching Wk2-13
CZ3001	10264	1030	1130	TR+17	FRI	Teaching Wk2-13
CZ3001	10265	1330	1430	TR+9	TUE	Teaching Wk2-13
CZ3001	10266	1630	1730	TR+15	FRI	Teaching Wk2-13
CZ3002	10268	1030	1130	TR+37	TUE	Teaching Wk2-13
CZ3002	10269	1630	1730	TR+18	FRI	Teaching Wk2-13
CZ3002	10270	930	1030	TR+19	FRI	Teaching Wk2-13
CZ3002	10271	1030	1130	TR+18	FRI	Teaching Wk2-13
CZ3002	10272	1530	1630	TR+18	FRI	Teaching Wk2-13
CZ3002	10273	1430	1530	TR+17	FRI	Teaching Wk2-13
CZ3002	10274	930	1030	TR+37	TUE	Teaching Wk2-13
CZ3003	10275	830	930	LHN-TR+16	THU	Teaching Wk2-13
CZ3003	10276	1430	1530	LHN-TR+17	MON	Teaching Wk2-13
CZ3003	10277	930	1030	LHN-TR+18	WED	Teaching Wk2-13
CZ3003	10278	1430	1530	LHN-TR+18	MON	Teaching Wk2-13
CZ3003	10279	1230	1330	LHN-TR+13	FRI	Teaching Wk2-13
CZ3003	10280	1030	1130	LHN-TR+18	FRI	Teaching Wk2-13
CZ3003	10281	1230	1330	LHN-TR+13	MON	Teaching Wk2-13
CZ3003	10407	1630	1730	LHN-TR+17	MON	Teaching Wk2-13
CZ3003	13834	1430	1530	LHN-TR+13	THU	Teaching Wk2-13
CZ3005	10283	1230	1330	TR+17	MON	Teaching Wk2-13
CZ3005	10284	1030	1130	TR+33	TUE	Teaching Wk2-13
CZ3005	10285	1130	1230	TR+18	TUE	Teaching Wk2-13
CZ3005	10286	1130	1230	TRX44	WED	Teaching Wk2-13
CZ3005	10287	930	1030	TR+9	THU	Teaching Wk2-13
CZ3005	10288	930	1030	TR+33	TUE	Teaching Wk2-13
CZ3005	10289	1130	1230	TR+9	THU	Teaching Wk2-13
CZ3005	10290	1130	1230	TR+20	TUE	Teaching Wk2-13
CZ3005	10291	1630	1730	TR+37	MON	Teaching Wk2-13
CZ3006	10293	1430	1530	TR+9	TUE	Teaching Wk2-13
CZ3006	10294	1030	1130	TR+18	MON	Teaching Wk2-13
CZ3006	10295	930	1030	TR+18	WED	Teaching Wk2-13
CZ3006	10296	1330	1430	TR+18	WED	Teaching Wk2-13
CZ3006	10297	1630	1730	TR+16	MON	Teaching Wk2-13
CZ3006	10298	1130	1230	LHN-TR+27	THU	Teaching Wk2-13
CZ3006	10299	1030	1130	LHN-TR+22	MON	Teaching Wk2-13
CZ3006	10300	1330	1430	TRX44	MON	Teaching Wk2-13
CZ3006	10301	1230	1330	TR+18	WED	Teaching Wk2-13
CZ3007	10302	1630	1730	TR+18	WED	Teaching Wk2-13
CZ3007	10303	1630	1730	TR+18	TUE	Teaching Wk2-13
CZ3007	10304	1630	1730	TR+19	WED	Teaching Wk2-13
CZ3007	10305	1530	1630	TR+19	MON	Teaching Wk2-13
CZ3007	10306	1430	1530	LHN-TR+13	TUE	Teaching Wk2-13
CZ3007	10307	1330	1430	TR+18	FRI	Teaching Wk2-13
CZ3007	10308	1330	1430	LHN-TR+27	FRI	Teaching Wk2-13
CZ3007	10309	1030	1130	TR+33	FRI	Teaching Wk2-13
CZ4003	10310	1430	1530	ONLINE	FRI	
CZ4016	10311	1230	1330	LT10	MON	
CZ4022	10312	930	1030	LT11	MON	
CZ4023	10313	930	1030	LT8	FRI	
CZ4031	10314	1530	1630	ONLINE	WED	
CZ4032	10436	1530	1630	ONLINE	FRI	
CZ4042	10315	1430	1530	ONLINE	WED	
CZ4045	10316	1330	1430	ONLINE	FRI	
CZ4062	10317	1630	1730	ONLINE	WED	
CZ4064	10318	1730	1830	ONLINE	MON	
