courseCode	indexID	maxVacancy	availVancancy	lessonList	groupName	studentsRegistered	studentsInWaitlist	studentsExempted
CZ2005	10237	5	5	[LECTURE, TUTORIAL, LAB]	SSP1			
CZ2005	10238	5	5	[LECTURE, TUTORIAL, LAB]	SSP2			
CZ2005	10239	5	5	[LECTURE, TUTORIAL, LAB]	SSP3			
CZ2005	10240	5	5	[LECTURE, TUTORIAL, LAB]	SSP4			
CZ2005	10241	5	5	[LECTURE, TUTORIAL, LAB]	SSP5			
CZ2006	10242	5	5	[LECTURE, TUTORIAL, LAB]	SSP1			
CZ2006	10243	5	5	[LECTURE, TUTORIAL, LAB]	SSP2			
CZ2006	10244	5	5	[LECTURE, TUTORIAL, LAB]	SSP3			
CZ2006	10245	5	5	[LECTURE, TUTORIAL, LAB]	SSP4			
CZ2006	10246	5	5	[LECTURE, TUTORIAL, LAB]	SSP5			
CZ2006	10248	5	5	[LECTURE, TUTORIAL, LAB]	SSP7			
CZ2006	10249	5	5	[LECTURE, TUTORIAL, LAB]	SSP8			
CZ2006	10324	5	5	[LECTURE, TUTORIAL, LAB]	SSP9			
CZ2006	10325	5	5	[LECTURE, TUTORIAL, LAB]	SSP10			
CZ2007	10250	5	5	[LECTURE, TUTORIAL, LAB]	SS1			
CZ2007	10251	5	5	[LECTURE, TUTORIAL, LAB]	SS2			
CZ2007	10252	5	5	[LECTURE, TUTORIAL, LAB]	SS3			
CZ2007	10253	5	5	[LECTURE, TUTORIAL, LAB]	SS4			
CZ2007	10254	5	5	[LECTURE, TUTORIAL, LAB]	SS5			
CZ2007	10255	5	5	[LECTURE, TUTORIAL, LAB]	SS6			
CZ2007	10256	5	5	[LECTURE, TUTORIAL, LAB]	SSP1			
CZ2007	10257	5	5	[LECTURE, TUTORIAL, LAB]	SSP2			
CZ2007	10258	5	5	[LECTURE, TUTORIAL, LAB]	SSP3			
CZ2007	10259	5	5	[LECTURE, TUTORIAL, LAB]	SSP4			
CZ2007	10260	5	5	[LECTURE, TUTORIAL, LAB]	SSP5			
CZ2007	10261	5	5	[LECTURE, TUTORIAL, LAB]	SSP6			
CZ2007	10262	5	5	[LECTURE, TUTORIAL, LAB]	SSP7			
CZ3001	10263	5	5	[LECTURE, TUTORIAL, LAB]	SSA1			
CZ3001	10264	5	5	[LECTURE, TUTORIAL, LAB]	SSA2			
CZ3001	10265	5	5	[LECTURE, TUTORIAL, LAB]	SSR1			
CZ3001	10266	5	5	[LECTURE, TUTORIAL, LAB]	SSR2			
CZ3002	10268	5	5	[LECTURE, TUTORIAL, LAB]	TS1			
CZ3002	10269	5	5	[LECTURE, TUTORIAL, LAB]	TS2			
CZ3002	10270	5	5	[LECTURE, TUTORIAL, LAB]	TS3			
CZ3002	10271	5	5	[LECTURE, TUTORIAL, LAB]	TS4			
CZ3002	10272	5	5	[LECTURE, TUTORIAL, LAB]	TS5			
CZ3002	10273	5	5	[LECTURE, TUTORIAL, LAB]	TSA1			
CZ3002	10274	5	5	[LECTURE, TUTORIAL, LAB]	TSA2			
CZ3003	10275	5	5	[LECTURE, TUTORIAL, LAB]	SSP1			
CZ3003	10276	5	5	[LECTURE, TUTORIAL, LAB]	SSP2			
CZ3003	10277	5	5	[LECTURE, TUTORIAL, LAB]	SSP3			
CZ3003	10278	5	5	[LECTURE, TUTORIAL, LAB]	SSP4			
CZ3003	10279	5	5	[LECTURE, TUTORIAL, LAB]	SSP5			
CZ3003	10280	5	5	[LECTURE, TUTORIAL, LAB]	SSP6			
CZ3003	10281	5	5	[LECTURE, TUTORIAL, LAB]	SSR1			
CZ3003	10407	5	5	[LECTURE, TUTORIAL, LAB]	SSP7			
CZ3003	13834	5	5	[LECTURE, TUTORIAL, LAB]	BCG3			
CZ3005	10283	5	5	[LECTURE, TUTORIAL, LAB]	DSAI			
CZ3005	10284	5	5	[LECTURE, TUTORIAL, LAB]	TSP1			
CZ3005	10285	5	5	[LECTURE, TUTORIAL, LAB]	TSP2			
CZ3005	10286	5	5	[LECTURE, TUTORIAL, LAB]	TSP4			
CZ3005	10287	5	5	[LECTURE, TUTORIAL, LAB]	TSP5			
CZ3005	10288	5	5	[LECTURE, TUTORIAL, LAB]	TSP6			
CZ3005	10289	5	5	[LECTURE, TUTORIAL, LAB]	TSP7			
CZ3005	10290	5	5	[LECTURE, TUTORIAL, LAB]	TSP8			
CZ3005	10291	5	5	[LECTURE, TUTORIAL, LAB]	TSR1			
CZ3006	10293	5	5	[LECTURE, TUTORIAL, LAB]	SSP2			
CZ3006	10294	5	5	[LECTURE, TUTORIAL, LAB]	SSP3			
CZ3006	10295	5	5	[LECTURE, TUTORIAL, LAB]	SSP4			
CZ3006	10296	5	5	[LECTURE, TUTORIAL, LAB]	SSP5			
CZ3006	10297	5	5	[LECTURE, TUTORIAL, LAB]	TS1			
CZ3006	10298	5	5	[LECTURE, TUTORIAL, LAB]	TS2			
CZ3006	10299	5	5	[LECTURE, TUTORIAL, LAB]	TS3			
CZ3006	10300	5	5	[LECTURE, TUTORIAL, LAB]	TS4			
CZ3006	10301	5	5	[LECTURE, TUTORIAL, LAB]	TS6			
CZ3007	10302	5	5	[LECTURE, TUTORIAL, LAB]	TSP1			
CZ3007	10303	5	5	[LECTURE, TUTORIAL, LAB]	TSP2			
CZ3007	10304	5	5	[LECTURE, TUTORIAL, LAB]	TSP3			
CZ3007	10305	5	5	[LECTURE, TUTORIAL, LAB]	TSP4			
CZ3007	10306	5	5	[LECTURE, TUTORIAL, LAB]	TSP5			
CZ3007	10307	5	5	[LECTURE, TUTORIAL, LAB]	TSP6			
CZ3007	10308	5	5	[LECTURE, TUTORIAL, LAB]	TSP7			
CZ3007	10309	5	5	[LECTURE, TUTORIAL, LAB]	TSP8			
CZ4003	10310	5	5	[LECTURE, TUTORIAL]	CS4			
CZ4016	10311	5	5	[LECTURE, TUTORIAL]	CS4			
CZ4022	10312	5	5	[LECTURE, TUTORIAL]	CS4			
CZ4023	10313	5	5	[LECTURE, TUTORIAL]	CS4			
CZ4031	10314	5	5	[LECTURE, TUTORIAL]	CS4			
CZ4032	10436	5	5	[LECTURE, TUTORIAL]	CS4			
CZ4042	10315	5	5	[LECTURE, TUTORIAL]	CS4			
CZ4045	10316	5	5	[LECTURE, TUTORIAL]	CS4			
CZ4062	10317	5	5	[LECTURE, TUTORIAL]	CS4			
CZ4064	10318	5	5	[LECTURE, TUTORIAL]	CS4			
